id,image_id,auto
V01,NLB_557915221EDR_F0653200NCAM07753M1,0
V02,NLB_550010586EDR_F0632582NCAM00282M1,0
V03,NLB_417300832EDR_F0060000NCAM12754M1,2
V04,NLB_436473728EDR_F0211572NCAM00464M1,6
V05,NLB_619780919EDR_F0763002NCAM00284M1,0
V06,NLB_449520568EDR_F0300820NCAM00257M1,10
V07,NLB_546279081EDR_F0621530NCAM00312M1,2
V08,NLB_485561682EDR_F0481194NCAM07813M1,4
V09,NLB_492131577EDR_F0482794NCAM00292M1,7
V10,NLB_488934649EDR_F0481588NCAM00385M1,0
V11,NLB_449442371EDR_F0300786NCAM00320M1,10
V12,NLB_467627285EDR_F0440256NCAM00293M1,2
V13,NLB_444726490EDR_F0260208NCAM00256M1,14
V14,NLB_451922109EDR_F0311330NCAM00364M1,4
V15,NLB_582762251EDR_F0710066NCAM00271M1,15
V16,NLB_547162745EDR_F0623188NCAM00207M1,1
V17,NLB_550010635EDR_F0632582NCAM00282M1,20
V18,NLB_417301076EDR_F0060000NCAM05794M1,2
V19,NLB_473413702EDR_F0442414NCAM00320M1,4
V20,NLB_485828526EDR_F0481530NCAM07753M1,1
V21,NLB_526667286EDR_F0572798NCAM07753M1,18
V22,NLB_557297963EDR_F0652720NCAM07753M1,0
V23,NLB_479704458EDR_F0450852NCAM00280M1,0
V24,NLB_625836391EDR_F0771070NCAM00256M1,5
